subsystem	short_name	long_name
Xylose and xyloside utilization in bifidobacteria	XosR2	Putative transcriptional regulator of XOS/AXOS utilization-2 (LacI family)
Xylose and xyloside utilization in bifidobacteria	BlArafD	Extracellular alpha-1,2/5-L-arabinofuranosidase (GH43_UC_26)
Xylose and xyloside utilization in bifidobacteria	BlArafE	Extracellular alpha-1,3/4-L-arabinofuranosidase (GH43_22_34)
Xylose and xyloside utilization in bifidobacteria	AxuA	Extracellular monosubstituted arabinoxylan alpha-1,2/3-L-arabinofuranosidase (GH43_16)
Xylose and xyloside utilization in bifidobacteria	AxuB	Extracellular double substituted arabinoxylan alpha-L-arabinofuranosidase (GH43_10)
Xylose and xyloside utilization in bifidobacteria	Xyl120C	Putative beta-1,4-xylosidase (GH120)
Xylose and xyloside utilization in bifidobacteria	XosX	Putative xylooligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1)
Xylose and xyloside utilization in bifidobacteria	XosY	Putative xylooligosaccharide ABC transporter permease component 1 (TC 3.A.1.1)
Xylose and xyloside utilization in bifidobacteria	XosZ	Putative xylooligosaccharide ABC transporter permease component 2 (TC 3.A.1.1)
Xylose and xyloside utilization in bifidobacteria	XosR3	Putative transcriptional regulator of XOS utilization (TetR family)
Arabinose and arabinoside utilization in bifidobacteria	AraA	L-arabinose isomerase (EC 5.3.1.4)
Arabinose and arabinoside utilization in bifidobacteria	AraB	Ribulokinase (EC 2.7.1.16)
Arabinose and arabinoside utilization in bifidobacteria	AraD	L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)
Arabinose and arabinoside utilization in bifidobacteria	AraE	Putative arabinose MFS permease (TC 2.A.1.1)
Arabinose and arabinoside utilization in bifidobacteria	AraQ	Transcriptional regulator of arabinose utilization and central carbohydrate metabolism (LacI family)
Arabinose and arabinoside utilization in bifidobacteria	AraF	Putative pentose (arabinose/xylose) ABC transporter substrate-binding component (TC 3.A.1.2)
Arabinose and arabinoside utilization in bifidobacteria	AraG	Putative pentose (arabinose/xylose) ABC transporter ATP-binding component (TC 3.A.1.2)
Arabinose and arabinoside utilization in bifidobacteria	AraH	Putative pentose (arabinose/xylose) ABC transporter permease component (TC 3.A.1.2)
Arabinose and arabinoside utilization in bifidobacteria	AraU	Putative transcriptional regulator of arabinose transporter (ROK family)
Arabinose and arabinoside utilization in bifidobacteria	FruE	Fructose/xylose/ribose/arabinose ABC transporter substrate-binding component (TC 3.A.1.2.23)
Arabinose and arabinoside utilization in bifidobacteria	FruF	Fructose/xylose/ribose/arabinose ABC transporter permease component 1 (TC 3.A.1.2.23)
Arabinose and arabinoside utilization in bifidobacteria	FruG	Fructose/xylose/ribose/arabinose ABC transporter permease component 2 (TC 3.A.1.2.23)
Arabinose and arabinoside utilization in bifidobacteria	FruK	Fructose/xylose/ribose/arabinose ABC transporter ATP-binding component (TC 3.A.1.2.23)
Arabinose and arabinoside utilization in bifidobacteria	AbfC	Alpha-1,5-L-arabinofuranosidase (GH1)
Arabinose and arabinoside utilization in bifidobacteria	Abf43A	Alpha-1,2/3-L-arabinofuranosidase (GH43_27)
Arabinose and arabinoside utilization in bifidobacteria	Abf43B	Alpha-1,5-L-arabinofuranosidase (GH43_26)
Arabinose and arabinoside utilization in bifidobacteria	Abf43C	Putative alpha-L-arabinofuranosidase (GH43_22)
Arabinose and arabinoside utilization in bifidobacteria	Abn43A	Extracellular endo-alpha-1,5-L-arabinanase (GH43_4)
Arabinose and arabinoside utilization in bifidobacteria	Abn43B	Endo-alpha-1,5-L-arabinanase (GH43_4)
Arabinose and arabinoside utilization in bifidobacteria	Abf146	Putative beta-L-arabinofuranosidase in alpha-AOS locus (GH146)
Arabinose and arabinoside utilization in bifidobacteria	CaeA	Hydroxycinnamic acid esterase
Arabinose and arabinoside utilization in bifidobacteria	AauA	Putative alpha-arabinooligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1)
Arabinose and arabinoside utilization in bifidobacteria	AauB	Putative alpha-arabinooligosaccharide ABC transporter permease component 1 (TC 3.A.1.1)
Arabinose and arabinoside utilization in bifidobacteria	AauC	Putative alpha-arabinooligosaccharide ABC transporter permease component 2 (TC 3.A.1.1)
Arabinose and arabinoside utilization in bifidobacteria	AauR	Putative transcriptional regulator of alpha-arabinooligosaccharide utilization (LacI family)
Arabinose and arabinoside utilization in bifidobacteria	Abf51A	Putative alpha-1,5-L-arabinofuranosidase (GH51)
Arabinose and arabinoside utilization in bifidobacteria	AauN	Putative alpha-arabinooligosaccharide ABC transporter-2 substrate-binding component (TC 3.A.1.1)
Arabinose and arabinoside utilization in bifidobacteria	AauP	Putative alpha-arabinooligosaccharide ABC transporter-2 permease component 1 (TC 3.A.1.1)
Arabinose and arabinoside utilization in bifidobacteria	AauQ	Putative alpha-arabinooligosaccharide ABC transporter-2 permease component 2 (TC 3.A.1.1)
Arabinose and arabinoside utilization in bifidobacteria	AbfR	Putative transcriptional regulator of alpha-arabinooligosaccharide utilization-2 (LacI family)
Arabinose and arabinoside utilization in bifidobacteria	Abf51B	Alpha-1,3/5-L-arabinofuranosidase (GH51)
Arabinose and arabinoside utilization in bifidobacteria	Abf51C	Putative alpha-L-arabinofuranosidase (GH51)
Arabinose and arabinoside utilization in bifidobacteria	BlArafA	Extracellular alpha-1,3-L-arabinofuranosidase (GH43_22)
Arabinose and arabinoside utilization in bifidobacteria	BlArafB	Extracellular alpha-1,5-L-arabinofuranosidase (GH43_22)
Arabinose and arabinoside utilization in bifidobacteria	BlArafC	Extracellular alpha-1,2/3-L-arabinofuranosidase (GH43_27)
Arabinose and arabinoside utilization in bifidobacteria	BlArafD	Extracellular alpha-1,2/5-L-arabinofuranosidase (GH43_UC_26)
Arabinose and arabinoside utilization in bifidobacteria	BlArafE	Extracellular alpha-1,3/4-L-arabinofuranosidase (GH43_22_34)
Arabinose and arabinoside utilization in bifidobacteria	BlArafX	Putative extracellular alpha-L-arabinofuranosidase (GH43_27)
Arabinose and arabinoside utilization in bifidobacteria	HypBA1	Beta-1,2-L-arabinofuranosidase (GH127)
Arabinose and arabinoside utilization in bifidobacteria	HypBA2	Extracellular beta-L-arabinobiosidase (GH121)
Arabinose and arabinoside utilization in bifidobacteria	HypAA	Extracellular alpha-1,3-L-arabinofuranosidase (GH43_29)
Arabinose and arabinoside utilization in bifidobacteria	BauA	Beta-arabinobiose ABC transporter substrate-binding component (TC 3.A.1.1)
Arabinose and arabinoside utilization in bifidobacteria	BauB	Beta-arabinobiose ABC transporter permease component 1 (TC 3.A.1.1)
Arabinose and arabinoside utilization in bifidobacteria	BauC	Beta-arabinobiose ABC transporter permease component 2 (TC 3.A.1.1)
Arabinose and arabinoside utilization in bifidobacteria	BauR1	Putative transcriptional regulator of beta-arabinooligosaccharide utilization (LacI family)
Arabinose and arabinoside utilization in bifidobacteria	Bll3HypBA1	Extracellular beta-1,3-L-arabinofuranosidase (GH146)
Arabinose and arabinoside utilization in bifidobacteria	Bll4HypBA1	Extracellular beta-L-arabinofuranosidase (GH146)
Arabinose and arabinoside utilization in bifidobacteria	Abf127C	Putative beta-1,2-L-arabinofuranosidase (GH127)
Arabinose and arabinoside utilization in bifidobacteria	BauT	Putative beta-arabinobiose MFS permease (TC 2.A.2)
Arabinose and arabinoside utilization in bifidobacteria	BauR2	Putative transcriptional regulator of beta-arabinooligosaccharide utilization-2 (LacI family)
Arabinose and arabinoside utilization in bifidobacteria	Bau39	Extracellular 3-O-beta-L-arabinopyranosyl-alpha-L-arabinofuranosidase-2 (GH39)
Arabinose and arabinoside utilization in bifidobacteria	Abf127B	Beta-1,2/3/5-L-arabinofuranosidase (GH127)
Arabinose and arabinoside utilization in bifidobacteria	Abp36B	Beta-L-arabinopyranosidase-2 (GH36)
Arabinose and arabinoside utilization in bifidobacteria	BauE	Putative beta-arabinooligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1)
Arabinose and arabinoside utilization in bifidobacteria	BauF	Putative beta-arabinooligosaccharide ABC transporter permease component 1 (TC 3.A.1.1)
Arabinose and arabinoside utilization in bifidobacteria	BauG	Putative beta-arabinooligosaccharide ABC transporter permease component 2 (TC 3.A.1.1)
Arabinose and arabinoside utilization in bifidobacteria	BauR3	Putative transcriptional regulator of beta-arabinooligosaccharide utilization-3 (LacI family)
Arabinose and arabinoside utilization in bifidobacteria	Abp27	Beta-L-arabinopyranosidase (GH27)
Arabinose and arabinoside utilization in bifidobacteria	Abf127D	Putative beta-L-arabinofuranosidase (GH127)
Arabinose and arabinoside utilization in bifidobacteria	Abp36A	Beta-L-arabinopyranosidase (GH36)
Arabinose and arabinoside utilization in bifidobacteria	Abf43D	Alpha-1,2/3/5-L-arabinofuranosidase (GH43_22)
Arabinose and arabinoside utilization in bifidobacteria	Abf51D	Alpha-1,2/3/5-L-arabinofuranosidase (GH51)
Arabinose and arabinoside utilization in bifidobacteria	AbpR	Putative transcriptional regulator of beta-L-arabinopyranosidase (LacI family)
Xyloglucan catabolism in bifidobacteria	XylA	Xylose isomerase (EC 5.3.1.5)
Xyloglucan catabolism in bifidobacteria	XylB	Xylulose kinase (EC 2.7.1.17)
Xyloglucan catabolism in bifidobacteria	Xgl31A	Putative alpha-xylosidase (GH31)
Xyloglucan catabolism in bifidobacteria	Xgl1	Putative beta-1,4-glucosidase (GH1)
Xyloglucan catabolism in bifidobacteria	XglF	Putative xyloglucan oligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1)
Xyloglucan catabolism in bifidobacteria	XglG	Putative xyloglucan oligosaccharide ABC transporter permease component 1 (TC 3.A.1.1)
Xyloglucan catabolism in bifidobacteria	XglH	Putative xyloglucan oligosaccharide ABC transporter permease component 2 (TC 3.A.1.1)
Xyloglucan catabolism in bifidobacteria	XglR	Putative transcriptional regulator of xyloglucan oligosaccharide utilization (LacI family)
Xyloglucan catabolism in bifidobacteria	Xgl29	Putative xgl-cluster alpha-1,2-L-fucosidase (GH29)
Xyloglucan catabolism in bifidobacteria	Xgl3	Putative xgl-cluster beta-1,4-glucosidase (GH3)
Xyloglucan catabolism in bifidobacteria	Xgl31B	Putative xgl-cluster alpha-1,6-xylosidase (GH31)
Xyloglucan catabolism in bifidobacteria	Xgl5A	Putative extracellular xyloglucan endo-beta-1,4-glucanase (GH5_4)
Xyloglucan catabolism in bifidobacteria	Xgl5B	Putative xyloglucan endo-beta-1,4-glucanase (GH5_4)
Xyloglucan catabolism in bifidobacteria	Xgl43	Putative xgl-cluster alpha-1,2-L-arabinofuranosidase (GH43_12)
Xyloglucan catabolism in bifidobacteria	Xgl42	Putative xgl-cluster beta-1,2-galactosidase (GH42)
Xyloglucan catabolism in bifidobacteria	XglE1	Putative xgl-cluster xyloglucan acetylesterase
Xyloglucan catabolism in bifidobacteria	XglK	Putative xgl-cluster beta-glucoside kinase (EC 2.7.1.85)
Xyloglucan catabolism in bifidobacteria	XglA	Putative xyloglucan oligosaccharide ABC transporter-2 substrate-binding component (TC 3.A.1.1)
Xyloglucan catabolism in bifidobacteria	XglB	Putative xyloglucan oligosaccharide ABC transporter-2 permease component 1 (TC 3.A.1.1)
Xyloglucan catabolism in bifidobacteria	XglC	Putative xyloglucan oligosaccharide ABC transporter-2 permease component 2 (TC 3.A.1.1)
Xyloglucan catabolism in bifidobacteria	CbpA	Cellobiose phosphorylase (EC 2.4.1.20)
Xyloglucan catabolism in bifidobacteria	XglE2	Putative xyloglucan acetylesterase
Xyloglucan catabolism in bifidobacteria	XglT	Putative transcriptional regulator of xyloglucan oligosaccharide utilization (TetR family)
Xyloglucan catabolism in bifidobacteria	Xgl31C	Putative alpha-xylosidase-2 (GH31)
Xyloglucan catabolism in bifidobacteria	Xgl51	Putative XglOS-acting alpha-L-arabinofuranosidase (GH51)
Xyloglucan catabolism in bifidobacteria	Xgl36	Putative XglOS-acting beta-L-arabinopyranosidase (GH36)
Xyloglucan catabolism in bifidobacteria	XglX	Putative xyloglucan oligosaccharide ABC transporter-3 substrate-binding component (TC 3.A.1.1)
Xyloglucan catabolism in bifidobacteria	XglY	Putative xyloglucan oligosaccharide ABC transporter-3 permease component 1 (TC 3.A.1.1)
Xyloglucan catabolism in bifidobacteria	XglZ	Putative xyloglucan oligosaccharide ABC transporter-3 permease component 2 (TC 3.A.1.1)
Xyloglucan catabolism in bifidobacteria	XglR2	Putative transcriptional regulator of xyloglucan oligosaccharide utilization-2 (LacI family)
Xyloglucan catabolism in bifidobacteria	Xgl31D	Putative alpha-xylosidase-3 (GH31)
Xyloglucan catabolism in bifidobacteria	XglN	Putative xyloglucan oligosaccharide ABC transporter-4 substrate-binding component (TC 3.A.1.1)
Xyloglucan catabolism in bifidobacteria	XglP	Putative xyloglucan oligosaccharide ABC transporter-4 permease component 1 (TC 3.A.1.1)
Xyloglucan catabolism in bifidobacteria	XglQ	Putative xyloglucan oligosaccharide ABC transporter-4 permease component 2 (TC 3.A.1.1)
Xyloglucan catabolism in bifidobacteria	XglR3	Putative transcriptional regulator of xyloglucan oligosaccharide utilization-3 (LacI family)
D-glucuronate and glucuronide utilization in bifidobacteria	UxaC	Uronate isomerase (EC 5.3.1.12)
D-glucuronate and glucuronide utilization in bifidobacteria	UxuB	D-mannonate oxidoreductase (EC 1.1.1.57)
D-glucuronate and glucuronide utilization in bifidobacteria	UxuA	Mannonate dehydratase (EC 4.2.1.8)
D-glucuronate and glucuronide utilization in bifidobacteria	KdgK2	Putative 2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)
D-glucuronate and glucuronide utilization in bifidobacteria	KdgD	Putative 2-dehydro-3-deoxy-6-phosphogluconate dehydrogenase (EC 1.1.1.-)
D-glucuronate and glucuronide utilization in bifidobacteria	ExuT	Putative D-glucuronate MFS permease (TC 2.A.2)
D-glucuronate and glucuronide utilization in bifidobacteria	UxuR1	Putative transcriptional regulator of D-glucuronate utilization-1 (LacI family)
D-glucuronate and glucuronide utilization in bifidobacteria	UxuR2	Putative transcriptional regulator of D-glucuronate utilization-2 (LacI family)
D-glucuronate and glucuronide utilization in bifidobacteria	Gus30	Putative beta-glucuronidase (GH30_9)
D-glucuronate and glucuronide utilization in bifidobacteria	Bgal59	Putative beta-galactosidase (GH59)
D-glucuronate and glucuronide utilization in bifidobacteria	Arha78	Putative alpha-L-rhamnosidase (GH78)
D-glucuronate and glucuronide utilization in bifidobacteria	Gus154	Putative beta-glucuronidase (GH154)
D-glucuronate and glucuronide utilization in bifidobacteria	ExuP	Putative glucuronide MFS permease (TC 2.A.2)
D-glucuronate and glucuronide utilization in bifidobacteria	GusA	Putative glucuronide ABC transporter substrate-binding component (TC 3.A.1.1)
D-glucuronate and glucuronide utilization in bifidobacteria	GusB	Putative glucuronide ABC transporter permease component 1 (TC 3.A.1.1)
D-glucuronate and glucuronide utilization in bifidobacteria	GusC	Putative glucuronide ABC transporter permease component 2 (TC 3.A.1.1)
D-glucuronate and glucuronide utilization in bifidobacteria	GusR	Putative transcriptional regulator of the gus locus (LacI family)
D-gluconate utilization in bifidobacteria	GntK	Gluconokinase (EC 2.7.1.12)
D-gluconate utilization in bifidobacteria	Pgd	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)
D-gluconate utilization in bifidobacteria	GntT	Putative D-gluconate MFS permease (TC 2.A.8)
D-gluconate utilization in bifidobacteria	GntR	Putative transcriptional regulator of gluconate utilization (GntR family)
D-galactonate utilization in bifidobacteria	DgoD	Galactonate dehydratase (EC 4.2.1.6)
D-galactonate utilization in bifidobacteria	DgoK	2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58)
D-galactonate utilization in bifidobacteria	DgoA	2-dehydro-3-deoxyphosphogalactonate aldolase (EC 4.1.2.21)
D-galactonate utilization in bifidobacteria	DgoE	Putative D-galactonate ABC transporter substrate-binding component (TC 3.A.1.1)
D-galactonate utilization in bifidobacteria	DgoF	Putative D-galactonate ABC transporter permease component 1 (TC 3.A.1.1)
D-galactonate utilization in bifidobacteria	DgoG	Putative D-galactonate ABC transporter permease component 2 (TC 3.A.1.1)
D-galactonate utilization in bifidobacteria	DgoR	Putative transcriptional regulator of D-galactonate utilization (IclR family)
Inositol utilization in bifidobacteria	IolG1	Myo-inositol 2-dehydrogenase-1 (EC 1.1.1.18)
Inositol utilization in bifidobacteria	IolG2	Myo-inositol 2-dehydrogenase-2 (EC 1.1.1.18)
Inositol utilization in bifidobacteria	IolE	Scyllo-inosose dehydratase (EC 4.2.1.44)
Inositol utilization in bifidobacteria	IolD	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase (EC 3.7.1.22)
Inositol utilization in bifidobacteria	IolB	5-deoxy-glucuronate isomerase (EC 5.3.1.30)
Inositol utilization in bifidobacteria	IolP	Putative alcohol dehydrogenase (inositol utilization locus)
Inositol utilization in bifidobacteria	IolQ	Putative aldehyde dehydrogenase (inositol utilization locus)
Inositol utilization in bifidobacteria	InoD	Putative decarboxylating dehydrogenase (inositol utilization locus)
Inositol utilization in bifidobacteria	InoK	Putative pyruvate phosphate dikinase (inositol utilization locus)
Inositol utilization in bifidobacteria	InoXn	Putative transketolase N-terminal subunit (inositol utilization locus)
Inositol utilization in bifidobacteria	InoXc	Putative transketolase C-terminal subunit (inositol utilization locus)
Inositol utilization in bifidobacteria	IolT1	Putative inositol MFS permease-1 (TC 2.A.1.1)
Inositol utilization in bifidobacteria	IolT2	Putative inositol MFS permease-2 (TC 2.A.1.1)
Inositol utilization in bifidobacteria	InoR1	Putative transcriptional regulator of inositol utilization-1 (IclR family)
Inositol utilization in bifidobacteria	InoR2	Putative transcriptional regulator of inositol utilization-2 (IclR family)
Inositol utilization in bifidobacteria	InoS	Putative transcriptional regulator of inositol utilization (AraC family)
Sugar alcohol utilization in bifidobacteria	MtlD	Mannitol 2-dehydrogenase (EC 1.1.1.67)
Sugar alcohol utilization in bifidobacteria	Frk	Fructokinase (EC 2.7.1.4)
Sugar alcohol utilization in bifidobacteria	MtlP	Putative mannitol MFS permease (TC 2.A.1.18)
Sugar alcohol utilization in bifidobacteria	GutB	Sorbitol dehydrogenase (EC 1.1.1.14)
Sugar alcohol utilization in bifidobacteria	StlP	Putative sorbitol MFS permease (TC 2.A.1.18)
Sugar alcohol utilization in bifidobacteria	MtlR	Putative transcriptional regulator of mannitol utilization (ROK family)
Sugar alcohol utilization in bifidobacteria	StlR	Putative transcriptional regulator of sorbitol utilization (AraC family)
Ascorbate utilization in bifidobacteria	AscK	Putative ascorbate kinase
Ascorbate utilization in bifidobacteria	AscG	Putative L-ascorbate-6-phosphate lactonase (EC 3.1.1.-)
Ascorbate utilization in bifidobacteria	SgbH	3-keto-L-gulonate-6-phosphate decarboxylase (EC 4.1.1.85)
Ascorbate utilization in bifidobacteria	SgbU	L-xylulose-5-phosphate 3-epimerase (EC 5.1.3.22)
Ascorbate utilization in bifidobacteria	AraD	L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)
Ascorbate utilization in bifidobacteria	AscT	Putative ascorbate MFS permease (TC 2.A.1)
Ascorbate utilization in bifidobacteria	AscR	Putative transcriptional regulator of ascorbate utilization (DeoR family)
Ascorbate utilization in bifidobacteria	XulT	Putative L-xylulose-specific PTS system IIC component (TC 4.A.5)
Ascorbate utilization in bifidobacteria	XulK	L-xylulokinase (EC 2.7.1.53)
Ascorbate utilization in bifidobacteria	XulR	Putative transcriptional regulator of L-xylulose utilization (SorC family)
